feature_id,family,feature_name,plain_meaning,seller_hypothesis,raw_dependencies,formula_shape,output_type_units,valid_range,clipping_winsorization,asset_class_applicability,geo_normalization,market_comp_dependencies,time_behavior_decay,missing_handling,sentinel_handling,confidence_requirements,min_completeness,role,correlated_features,double_counting_risks,leakage_risks,explanation_text,verification_tests
F-035,portfolio_behavior,liquidation_motion,recent dispositions across owner portfolio,owners already liquidating or over-levered across holdings sell additional assets,linked_properties transaction history; recently_sold flags across holdings,disposition rate over window,log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),rolling window,unknown without cross-property history,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),holdings link_kind=confirmed only; tiebreak excluded,portfolio snapshot present,direct,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,Explains: recent dispositions across owner portfolio,T-01 (corrupted magnitudes); T-02
F-036,ownership_complexity,estate_probate_state,deceased owner / estate / heirship not yet settled,"estates/entities/fractions sell to simplify, but need the right counterparty process",AFD/PRO docs; date_of_death; estate deed types; owner vesting estate/surviving-spouse,staged categorical (death→probate→distribution),staged class / count,per feature,none,all,probate/foreclosure process varies by state (context only),none,document-dated progression,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multi-source classification rows (OD-2 model) with per-row confidence,one classification evidence row,direct,authority_confidence (same documents),estate evidence must not double-count with life_event_evidence propensity (IX-14),none,Explains: deceased owner / estate / heirship not yet settled,T-14; T-03
F-037,ownership_complexity,entity_layering,LLC/corp/trust ownership with registry state,"estates/entities/fractions sell to simplify, but need the right counterparty process",vesting decompose; corp/trust signals; companies status+officers(dormant); property_company_links,categorical complexity classes,staged class / count,per feature,none,all,probate/foreclosure process varies by state (context only),none,registry-dated,unknown entity = individual assumption at low confidence,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multi-source classification rows (OD-2 model) with per-row confidence,one classification evidence row,direct,authority_confidence (same documents),estate evidence must not double-count with life_event_evidence propensity (IX-14),none,Explains: LLC/corp/trust ownership with registry state,T-14; T-03
F-038,ownership_complexity,fractional_or_multiparty,TIC/joint/multiple owners needing all signatures,"estates/entities/fractions sell to simplify, but need the right counterparty process",owner_2 presence; vesting TIC/joint; et-al; lien multi-party owner-side,count+vesting class,staged class / count,per feature,none,all,probate/foreclosure process varies by state (context only),none,transaction-dated,single-owner default at low confidence,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multi-source classification rows (OD-2 model) with per-row confidence,one classification evidence row,contextual,authority_confidence (same documents),estate evidence must not double-count with life_event_evidence propensity (IX-14),none,Explains: TIC/joint/multiple owners needing all signatures,T-14; T-03
F-039,ownership_complexity,life_estate_split,life tenant vs remainderman split,"estates/entities/fractions sell to simplify, but need the right counterparty process",vesting life-estate roles,boolean,staged class / count,per feature,none,all,probate/foreclosure process varies by state (context only),none,static until death event,absence = fee simple assumption,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multi-source classification rows (OD-2 model) with per-row confidence,one classification evidence row,contextual,authority_confidence (same documents),estate evidence must not double-count with life_event_evidence propensity (IX-14),none,Explains: life tenant vs remainderman split,T-14; T-03
F-040,authority_confidence,decision_maker_link,contact is the primary decision maker / owner themself,"gates whether the contact can actually sign (multiplicative, not motivational)",person_flags.primary_decision_maker; matching_flags Likely Owner; person_type(OD-6),tiered confidence,confidence tier,exact/high/medium/low,none,all,none,none,profile-dated,unknown tier if no evidence,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self (this IS a confidence feature),entity or fiduciary evidence,confidence_only,identity_confidence,"none (multiplicative gate, never additive)",none,Explains: contact is the primary decision maker / owner themself,T-08
F-041,authority_confidence,entity_signing_authority,live entity + (dormant) officer records to sign,"gates whether the contact can actually sign (multiplicative, not motivational)",companies.current_status normalized; company_officers (dormant); matched_party,status gate + officer presence,confidence tier,exact/high/medium/low,none,all,none,none,registry-dated,"unknown officers = confidence haircut, not block",registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self (this IS a confidence feature),entity or fiduciary evidence,confidence_only,identity_confidence,"none (multiplicative gate, never additive)",none,Explains: live entity + (dormant) officer records to sign,T-08
F-042,authority_confidence,fiduciary_present,trustee/executor/POA/conservator identified,"gates whether the contact can actually sign (multiplicative, not motivational)",vesting fiduciary roles; POA docs; lien_parties administrator/executor,boolean per fiduciary class,confidence tier,exact/high/medium/low,none,all,none,none,document-dated,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self (this IS a confidence feature),entity or fiduciary evidence,confidence_only,identity_confidence,"none (multiplicative gate, never additive)",none,Explains: trustee/executor/POA/conservator identified,T-08
F-043,identity_confidence,person_property_link_strength,how sure we are this person is this owner,gates whether we are talking to the owner at all (multiplicative),matching_type tier; matching_flags; in_owner_family; is_matching_property_as_owner; name-match owner strings,tiered score from match method + corroboration,confidence tier,exact/high/medium/low,none,all,none,none,batch-dated,no link = no outreach as owner,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,any link evidence,confidence_only,authority_confidence; contactability,none (gate),none,Explains: how sure we are this person is this owner,T-13 vendor drift (scalar stability monitor)
F-044,identity_confidence,person_identity_key_coverage,individual_key present vs fallback-matched (61% of contact rows keyless),gates whether we are talking to the owner at all (multiplicative),individual_key parse success; household_id; name+address hash,categorical key-quality classes,confidence tier,exact/high/medium/low,none,all,none,none,static per batch,keyless = fallback confidence tier,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,any link evidence,confidence_only,authority_confidence; contactability,none (gate),none,Explains: individual_key present vs fallback-matched (61% of contact rows keyless),T-13 vendor drift (scalar stability monitor)
F-045,identity_confidence,cross_source_agreement,property context repeats agree across child files,gates whether we are talking to the owner at all (multiplicative),link-validation repeats (address/APN/owner_hash) vs properties,agreement fraction,confidence tier,exact/high/medium/low,none,all,none,none,per batch,partial data = partial score,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,any link evidence,confidence_only,authority_confidence; contactability,none (gate),none,Explains: property context repeats agree across child files,T-13 vendor drift (scalar stability monitor)
F-046,contactability,reachable_phone_stack,"compliant, live, ranked phones",gates whether motivation can be reached at all (multiplicative),contact_phones value/type/carrier-line-type/rank/DNC/never_call; RND & litigator tokens,best-reachable-channel tier after HARD compliance gates,channel tier,0-3 channels tiers,none,all,none,none,batch-dated; carrier churn,no phones = unreachable (not unknown),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),compliance gates evaluated FIRST (DNC/RND/litigator/blocked),>=1 channel row,direct,identity_confidence,none (gate/router),none,"Explains: compliant, live, ranked phones",T-08; compliance gate unit tests
F-047,contactability,deliverable_email_stack,verified emails with linkage,gates whether motivation can be reached at all (multiplicative),contact_emails value/linkage_score/verification tier/blocked; email_1_last_seen_date,tiered deliverability,channel tier,0-3 channels tiers,none,all,none,none,verification decays with last-seen age,no email = channel absent,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),compliance gates evaluated FIRST (DNC/RND/litigator/blocked),>=1 channel row,direct,identity_confidence,none (gate/router),none,Explains: verified emails with linkage,T-08; compliance gate unit tests
F-048,contactability,language_routing,preferred outreach language,gates whether motivation can be reached at all (multiplicative),people_profiles.language_preference,categorical routing (not a score),channel tier,0-3 channels tiers,none,all,none,none,profile-dated,default English at low confidence,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),compliance gates evaluated FIRST (DNC/RND/litigator/blocked),>=1 channel row,contextual,identity_confidence,none (gate/router),none,Explains: preferred outreach language,T-08; compliance gate unit tests
F-049,contactability,mailing_address_quality,owner mailing address deliverability,gates whether motivation can be reached at all (multiplicative),owner_address_* completeness; care-of; foreclosure mailing address as corroboration,completeness tiers,channel tier,0-3 channels tiers,none,all,none,none,changes on transfer,missing = mail channel absent,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),compliance gates evaluated FIRST (DNC/RND/litigator/blocked),>=1 channel row,contextual,identity_confidence,none (gate/router),none,Explains: owner mailing address deliverability,T-08; compliance gate unit tests
F-050,discount_potential,pressure_to_equity_ratio,total dated pressure stack vs available equity,need-for-cash vs equity headroom sets achievable discount,lien+tax+foreclosure pressure amounts; estimated_equity,composite ratio (needs-cash vs can-discount),ratio / class,"[0,1+]",pressure/equity ratio cap 2.0,all,as-is vs retail spread per cohort (NORM §1),renovated + as-is comp spreads,as-of scoring date,unknown equity blocks this feature,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),equity known (blocks on unknown),equity + >=1 pressure amount,direct,financial+legal pressure (inputs),uses pressure AGGREGATE — never re-add components (IX-01/IX-06),none,Explains: total dated pressure stack vs available equity,T-01; T-05; T-08
F-051,discount_potential,prior_non_market_transfer,acquired via distress/estate/non-arms-length (low basis),need-for-cash vs equity headroom sets achievable discount,transaction document groups + price qualifiers; PrevSale distress evidence,categorical basis classes,ratio / class,"[0,1+]",pressure/equity ratio cap 2.0,all,as-is vs retail spread per cohort (NORM §1),renovated + as-is comp spreads,acquisition-dated,unknown basis = neutral,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),equity known (blocks on unknown),equity + >=1 pressure amount,contextual,financial+legal pressure (inputs),uses pressure AGGREGATE — never re-add components (IX-01/IX-06),none,Dated pressure of ${p} against ${e} accessible equity.,T-01; T-05; T-08
F-052,discount_potential,condition_discount_headroom,repair burden creates as-is discount rationale,need-for-cash vs equity headroom sets achievable discount,condition grade; systems obsolescence; vacancy,compounding class,ratio / class,"[0,1+]",pressure/equity ratio cap 2.0,residential 1-4 unit,as-is vs retail spread per cohort (NORM §1),renovated + as-is comp spreads,slow-moving,unknown = neutral,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),equity known (blocks on unknown),equity + >=1 pressure amount,contextual,financial+legal pressure (inputs),uses pressure AGGREGATE — never re-add components (IX-01/IX-06),none,Explains: repair burden creates as-is discount rationale,T-01; T-05; T-08
F-053,dealability,clear_path_to_close,no blocking title/authority/occupancy landmines,absence of blockers converts motivation into a closeable transaction,title complexity; entity status; estate stage; redemption windows; leasehold docs,gate stack (each blocker enumerated),gate stack / class,enumerated blockers,none,all,state process context,none direct,as-of,unknown blockers = confidence haircut,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),blocker evidence dated,title+authority evidence evaluated,direct,"ownership_complexity, authority_confidence","blockers are gates, not points","listing-active is a routing gate here, allowed (not a propensity input)",Explains: no blocking title/authority/occupancy landmines,T-12; T-14
F-054,dealability,occupancy_disposition,vacant vs tenant vs owner-occupied at close,absence of blockers converts motivation into a closeable transaction,is_vacant; renter links; owner_location,categorical,gate stack / class,enumerated blockers,none,all,state process context,none direct,batch-dated,unknown occupancy = diligence flag,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),blocker evidence dated,title+authority evidence evaluated,contextual,"ownership_complexity, authority_confidence","blockers are gates, not points","listing-active is a routing gate here, allowed (not a propensity input)",Explains: vacant vs tenant vs owner-occupied at close,T-12; T-14
F-055,dealability,seller_finance_openness_proxy,free-and-clear + prior seller-financing behavior,absence of blockers converts motivation into a closeable transaction,free_and_clear; seller-financed loan groups in history; land contracts,boolean evidence stack,gate stack / class,enumerated blockers,none,all,state process context,none direct,static-ish,absence weak,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),blocker evidence dated,title+authority evidence evaluated,contextual,"ownership_complexity, authority_confidence","blockers are gates, not points","listing-active is a routing gate here, allowed (not a propensity input)",Explains: free-and-clear + prior seller-financing behavior,T-12; T-14
F-056,market_liquidity,local_dom_velocity,days-on-market and absorption in micro-market,exit certainty context — normalizes what a discount is worth,market_feature_snapshots (comp engine); property_listing_snapshots.days_on_market corroborates,contextual percentile,percentile / index,"[0,100]",cohort winsorize,all,cohort ladder is the feature (NORM §2),REQUIRES market_feature_snapshots (comp engine),as-of market snapshot,metro fallback when micro thin,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cohort n >= minimums (NORM §4),cohort resolvable at metro or better,contextual,buyer_demand,liquidity vs demand overlap — demand is buyer-side only (IX-11),future comps must be as-of-filtered (T-10),Explains: days-on-market and absorption in micro-market,T-10; T-11 cohort insufficiency
F-057,market_liquidity,price_band_liquidity,liquidity at THIS price point,exit certainty context — normalizes what a discount is worth,estimated_value vs market snapshot price-band volumes,band percentile,percentile / index,"[0,100]",cohort winsorize,all,cohort ladder is the feature (NORM §2),REQUIRES market_feature_snapshots (comp engine),as-of,unknown on thin data,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),cohort n >= minimums (NORM §4),cohort resolvable at metro or better,contextual,buyer_demand,liquidity vs demand overlap — demand is buyer-side only (IX-11),future comps must be as-of-filtered (T-10),Explains: liquidity at THIS price point,T-10; T-11 cohort insufficiency
F-058,buyer_demand,investor_buyer_pressure,active investor buyers in area (buyer intel engine),disposition-side demand context,intel_* buyer-match rollups; buyer_purchase_events_v2 (6-state coverage caveat),demand index by geo+class,index / mix,>=0,cohort winsorize,all,geo+class cohorts,REQUIRES buyer intel (coverage-gated: no TN; TX-skewed),rolling window,coverage-gated (TN absent per data realities),registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),coverage gate per state (buyer data realities),cohort n >= minimums,contextual,market_liquidity,IX-11,T-10 as-of,Explains: active investor buyers in area (buyer intel engine),T-11
F-059,buyer_demand,flip_rental_exit_spread,exit-strategy demand mix for this asset,disposition-side demand context,buyer intel; comps recent flips vs rentals,mix classification,index / mix,>=0,cohort winsorize,residential 1-4 unit,geo+class cohorts,REQUIRES buyer intel (coverage-gated: no TN; TX-skewed),rolling,unknown on thin data,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),coverage gate per state (buyer data realities),cohort n >= minimums,contextual,market_liquidity,IX-11,T-10 as-of,Explains: exit-strategy demand mix for this asset,T-11
F-060,expected_economic_value,expected_spread,value minus payoff minus repairs minus costs at achievable discount,ranks executable opportunities by guarded expected spread,estimated_value(comp-supersedes); loan balances; lien payoffs; repair class; local spreads,guarded arithmetic composite (anomaly-defended per Acquisition V3 lessons),USD / band / discounted USD,guarded,anomaly-defended per Acquisition V3 modules,all,all inputs cohort-normalized first,value supersession + spreads,as-of,blocks on unknown value/payoff,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multiplicative confidence discount (F-062),value + payoff + repair class known,direct,discount_potential,consumes composites only — components never re-enter (IX-06),T-10,Explains: value minus payoff minus repairs minus costs at achievable discount,T-01/02/05; T-15 stability
F-061,expected_economic_value,deal_size_band,absolute opportunity size for prioritization fairness,ranks executable opportunities by guarded expected spread,expected_spread; portfolio multi-deal potential,band classification,USD / band / discounted USD,guarded,anomaly-defended per Acquisition V3 modules,all,all inputs cohort-normalized first,value supersession + spreads,as-of,unknown = unranked,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multiplicative confidence discount (F-062),value + payoff + repair class known,contextual,discount_potential,consumes composites only — components never re-enter (IX-06),T-10,Explains: absolute opportunity size for prioritization fairness,T-01/02/05; T-15 stability
F-062,expected_economic_value,confidence_discounted_value,expected value × identity/authority/data confidences,ranks executable opportunities by guarded expected spread,expected_spread; identity/authority/link confidences,multiplicative confidence discount,USD / band / discounted USD,guarded,anomaly-defended per Acquisition V3 modules,all,all inputs cohort-normalized first,value supersession + spreads,as-of,"low confidence shrinks toward zero, never inflates",registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),multiplicative confidence discount (F-062),value + payoff + repair class known,direct,discount_potential,consumes composites only — components never re-enter (IX-06),T-10,Expected spread ${s} discounted by identity/authority/data confidence {c}.,T-01/02/05; T-15 stability
F-101,data_quality_confidence,agg_conflict_loan_count,vendor NumOfMortgages disagrees with populated loan slots,"source disagreement predicts data error clusters; lowers confidence, never scores distress",property_loans slots; properties.NumOfMortgages (fallback),boolean + signed delta,boolean / count / tier,per feature,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,both sides of a comparison present,confidence_only,none,none,none,Vendor counts {n} open mortgages; normalized records show {m}.,T-14; known baseline: >=160 disagreement rows in v3 batch
F-102,data_quality_confidence,agg_conflict_loan_totals,TotalLoanAmt/Balance/Payment checksum vs slot sums,checksum breaks flag ingestion or vendor drift,property_loans slots; TotalLoan* checksums,abs+relative delta with tolerance,boolean / count / tier,per feature,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,both sides of a comparison present,confidence_only,none,none,none,TotalLoanAmt/Balance/Payment checksum vs slot sums,"T-14; v3 baseline: Amt/Balance exact, Payment residual 0.015%"
F-103,data_quality_confidence,agg_conflict_open_liens,TotalOpenLienNbr (fallback) vs release-netted open lien episodes,vendor openness knowledge vs our netting — disagreement routes to review and haircuts lien confidence,property_liens episodes; TotalOpenLienNbr,signed delta,boolean / count / tier,per feature,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,both sides of a comparison present,confidence_only,none,none,none,TotalOpenLienNbr (fallback) vs release-netted open lien episodes,T-03; T-04; T-14
F-104,data_quality_confidence,corp_class_conflict,multi-source entity classifications disagree (OD-2 654-row set),"classification conflict = authority risk and data risk; surfaced, never averaged","ownership classification rows (corp_owner, is_corporate_owner, owner_status, is_trust, vesting)",count of contradictory classification pairs,boolean / count / tier,per feature,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,both sides of a comparison present,confidence_only,none,none,none,multi-source entity classifications disagree (OD-2 654-row set),T-14
F-105,data_quality_confidence,portfolio_magnitude_guard,portfolio totals outside plausibility bounds,"corrupted magnitudes must void portfolio features, not enter them",owner_portfolio_holdings totals,"guard boolean (+/-1e9 hard, p1/p99 soft)",boolean / count / tier,per feature,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,both sides of a comparison present,confidence_only,none,none,none,portfolio totals outside plausibility bounds,T-01; v3 baseline: min -$15.0B equity observed
F-110,identity_confidence,link_evidence_tier,ownership-link tier from matching_flags tokens + matching_type method + is_matching verdict,stronger match evidence -> outreach and person-level features apply,matching_flags tokens; matching_type; is_matching_property_as_owner; person_flags owner/renter,tier ladder: auto_match+token > address+token > token-only > tiebreaker,confidence tier,exact/high/medium/low,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),tokens present (99.99% populated); QA-verified vs match verdict (1.2% disagreement),any link evidence,confidence_only,authority_confidence; contactability,none (gate),none,ownership-link tier from matching_flags tokens + matching_type method + is_matching verdict,OD-13 crosstab regression; T-13
F-111,identity_confidence,link_scalar_corroboration,batch-live likely_owner=True upgrades the link tier one step (subset semantics per QA),scalar True is a vendor higher-precision subset (95-100% within token),prospects.likely_owner + per-batch liveness monitor,conditional tier bump,confidence tier,exact/high/medium/low,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),ONLY in batches where scalar population is live (>1% True rate),any link evidence,confidence_only,authority_confidence; contactability,none (gate),none,batch-live likely_owner=True upgrades the link tier one step (subset semantics per QA),per-batch scalar-liveness monitor; QA finding 1
F-112,identity_confidence,renter_block,person_flags.renter (or R code) hard-blocks outreach-as-owner regardless of tokens,"renter contact is not the seller; 1,029 token-conflicts observed in QA batch",person_flags.renter; homeowner H/R,hard gate boolean,confidence tier,exact/high/medium/low,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,any link evidence,confidence_only,authority_confidence; contactability,none (gate),none,person_flags.renter (or R code) hard-blocks outreach-as-owner regardless of tokens,pre-send eligibility suite; QA finding 5
F-113,data_quality_confidence,link_evidence_stability,per-batch population monitor for scalar/token export drift,"vendor export schema drifts across captures (11,195-row column gap observed within 2 days)",batch-level population rates of link fields,batch metric vs trailing baseline,boolean / count / tier,per feature,none,all,none,none,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),self,both sides of a comparison present,confidence_only,none,none,none,per-batch population monitor for scalar/token export drift,T-13
F-120,financial_pressure,income_tier_normalized,normalized vendor tier: income_tier_normalized,low income relative to local carrying cost -> strain (tested for incremental value),est_household_income band (code) + cohort cost context,"ordinal band, versioned domain mapping",ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,normalized vendor tier: income_tier_normalized,T-13 drift; holdout incremental-value test (Phase 3)
F-121,financial_pressure,net_asset_tier,normalized vendor tier: net_asset_tier,thin non-property assets -> property is the liquidity source,net_asset_value band,"ordinal band, versioned domain mapping",ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,normalized vendor tier: net_asset_tier,T-13 drift; holdout incremental-value test (Phase 3)
F-122,financial_pressure,buying_power_tier_versioned,normalized vendor tier: buying_power_tier_versioned,vendor strain tier corroborates computed strain,buying_power (OD-5 dual families kept as separate versions),"ordinal band, versioned domain mapping",ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,normalized vendor tier: buying_power_tier_versioned,T-13 drift; holdout incremental-value test (Phase 3)
F-123,financial_pressure,credit_tier,normalized vendor tier: credit_tier,sub-prime tier correlates with payment distress,agg_credit_tier ordinal,"ordinal band, versioned domain mapping",ratio (dimensionless),"[0, ~2] typical",winsorize p1/p99 within cohort; blanket-loan guard excludes before winsorizing,all,ratios vs cohort medians (NORM §1/§2),estimated_value supersession by comp engine,batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,value + at least one debt component,direct,equity features are arithmetic complements of LTV,LTV vs thin-equity vs equity-$ — pick one per model via interaction matrix IX-01,none material,normalized vendor tier: credit_tier,T-13 drift; holdout incremental-value test (Phase 3)
F-124,portfolio_behavior,investments_profile,normalized vendor tier: investments_profile,RE-investor profile shifts owner into portfolio-behavior treatment,investments boolean + investment_type tokens,"ordinal band, versioned domain mapping",log-count / winsorized ratio / rate,>=0,counts log1p + cap 100 (vendor cap); equity/balance winsorize p1/p99 + hard guard +/-1e9,all,none (owner-level),disposition velocity vs market velocity (IX-12),batch-dated; recomputed per snapshot,unknown stays unknown; never imputed to 0/false,registry #1-2 equity sentinels -> unknown; #5 blanket-loan guard flag; #3 term 999/0 -> unknown (family-relevant subset; see approval packet 3C),OD-11: versioned + coverage & vendor-drift evaluated + incremental-value tested before model entry,portfolio snapshot present,direct,landlord fatigue; owner_has_multiple_properties fallback,portfolio scale vs multiple-distressed-holdings (IX-13),none,normalized vendor tier: investments_profile,T-13 drift; holdout incremental-value test (Phase 3)
